date|crypto|price
2024-11-15|Solana|218.41443962547606
2024-11-15|Solana|218.47674739021625
2024-11-16|Solana|218.67649157538173
2024-11-16|Solana|217.75010450114144
2024-11-16|Solana|218.52637141200103
2024-11-16|Solana|218.9668410744448
2024-11-16|Solana|221.03410391330087
2024-11-16|Solana|220.17257727704882
2024-11-16|Solana|220.87248055894312
2024-11-16|Solana|219.3802212458041
2024-11-16|Solana|219.51301572100664
2024-11-16|Solana|219.28650426002093
2024-11-16|Solana|218.1145872657181
2024-11-16|Solana|218.34623137824263
2024-11-16|Solana|219.40267920446595
2024-11-16|Solana|219.31784831487954
2024-11-16|Solana|218.20417144282428
2024-11-16|Solana|217.25212251135625
2024-11-16|Solana|214.4312182800922
2024-11-16|Solana|214.65498382196083
2024-11-16|Solana|215.61303753729064
2024-11-16|Solana|216.1794964118656
2024-11-16|Solana|216.43937328921987
2024-11-16|Solana|215.81202167203475
2024-11-16|Solana|217.07965174984938
2024-11-16|Solana|214.901662901777
2024-11-17|Solana|215.8692211235572
2024-11-17|Solana|218.22752930536964
2024-11-17|Solana|214.8636443811066
2024-11-17|Solana|216.23659253886072
2024-11-17|Solana|222.40625825871194
2024-11-17|Solana|235.58322679021538
2024-11-17|Solana|236.63870715586557
2024-11-17|Solana|238.9313857323227
2024-11-17|Solana|237.6686537838364
2024-11-17|Solana|238.93154341723653
2024-11-17|Solana|237.74736839438813
2024-11-17|Solana|240.09176036448127
2024-11-17|Solana|235.2475366270904
2024-11-17|Solana|233.41461266171615
2024-11-17|Solana|232.13722219165217
2024-11-17|Solana|233.04953002782108
2024-11-17|Solana|233.44646686764602
2024-11-17|Solana|233.52656720848879
2024-11-17|Solana|233.28021107527755
2024-11-17|Solana|232.66002357667958
2024-11-17|Solana|236.20976850268065
2024-11-17|Solana|235.76900821749157
2024-11-17|Solana|233.3003092398828
2024-11-17|Solana|234.49855689534948
2024-11-18|Solana|237.57178715225965
2024-11-18|Solana|235.08766057390972
2024-11-18|Solana|237.57803602476184
2024-11-18|Solana|239.00396699004233
2024-11-18|Solana|244.06897410157367
2024-11-18|Solana|241.86447456751114
2024-11-18|Solana|242.9701631277023
2024-11-18|Solana|242.696744610549
2024-11-18|Solana|241.2378401992362
2024-11-18|Solana|242.40471520099806
2024-11-18|Solana|244.4297710306132
2024-11-18|Solana|247.40543734034387
2024-11-18|Solana|242.30876953042088
2024-11-18|Solana|243.2809278258744
2024-11-18|Solana|238.69593851242283
2024-11-18|Solana|243.44324882906125
2024-11-18|Solana|241.99729640761268
2024-11-18|Solana|240.47268419183828
2024-11-18|Solana|239.71616349133706
2024-11-18|Solana|238.44515586409412
2024-11-18|Solana|237.36476545843564
2024-11-18|Solana|239.7046721919742
2024-11-18|Solana|238.70373724768444
2024-11-18|Solana|239.64675846288426
2024-11-19|Solana|239.5591785771064
2024-11-19|Solana|240.28853019406696
2024-11-19|Solana|239.4456500314837
2024-11-19|Solana|242.2814732743792
2024-11-19|Solana|241.36963552146716
2024-11-19|Solana|239.99394559281922
2024-11-19|Solana|241.67849097327215
2024-11-19|Solana|243.18193369304007
2024-11-19|Solana|243.6509256331882
2024-11-19|Solana|244.85069005434593
2024-11-19|Solana|244.70858314447915
2024-11-19|Solana|245.58450296987363
2024-11-19|Solana|246.27181271410504
2024-11-19|Solana|245.44843338022318
2024-11-19|Solana|240.32125906134462
2024-11-19|Solana|239.47993522080105
2024-11-19|Solana|240.76365253202346
